所属模块,用例标题,前置条件,步骤,预期,关键词,优先级,用例类型,适用阶段,,类型可选值列表,阶段可选值列表
/财务管理(#10),验证财务管理模块界面布局与原型图一致,"1.清除系统cookie；
2.打开woniuboss首页；
3.使用管理员账号登陆；
4.左侧导航栏点击【财务管理】进入该模块界面",1. 查看界面布局是否与原型图一致,1. 财务管理模块界面布局与原型图一致,,1,功能测试,系统测试阶段,,"
功能测试
性能测试
配置相关
安装部署
安全相关
接口测试
其他","
单元测试阶段
功能测试阶段
集成测试阶段
系统测试阶段
冒烟测试阶段
版本验证阶段"
/财务管理(#10),验证未进行二级解密前财务流水模块下金额栏内容不可见,"1.管理员账号登录woniuboss
2.左侧导航栏点击【财务管理】进入该模块","1. 点击“财务流水”模块，选择开始时间：2019-01-01
2. 结束时间：2020-01-03
3. 一级科目：主营业务收入
4.二级科目：就业培训
5.点击：查询","1. 流水记录下列表有内容显示；
2. 列表中金额栏金额数不可见
3.",,3,功能测试,系统测试阶段,,,
/财务管理(#10),验证未进行二级解密前学员缴费模块下姓名栏内容不可见,"1.管理员账号登录woniuboss
2.左侧导航栏点击【财务管理】进入该模块","1. 点击“学院缴费”模块，选择开始时间：2019-01-01
2. 结束时间：2020-01-03
3. 一级科目：主营业务收入
4.二级科目：就业培训
5.点击：查询","1. 下方列表中有内容显示
2. 列表中姓名栏内容不可见
3.",,3,功能测试,系统测试阶段,,,
/财务管理(#10),验证二级解密后财务流水模块下金额栏内容可见,"1.管理员账号登录woniuboss
2.左侧导航栏点击【财务管理】进入该模块
3.点击：解密；
4.输入正确的二级密码","1. 点击“财务流水”模块，选择开始时间：2019-01-01
2. 结束时间：2020-01-03
3. 一级科目：主营业务收入
4.二级科目：就业培训
5.点击：查询","1. 流水记录下列表有内容显示；
2. 列表中金额栏金额数可见
3.",,3,功能测试,系统测试阶段,,,
/财务管理(#10),验证二级解密后学员缴费模块下姓名栏内容可见,"1.管理员账号登录woniuboss
2.左侧导航栏点击【财务管理】进入该模块
3.点击：解密；
4.输入正确的二级密码","1. 点击“学院缴费”模块，选择开始时间：2019-01-01
2. 结束时间：2020-01-03
3. 一级科目：主营业务收入
4.二级科目：就业培训
5.点击：查询","1. 下方列表中有内容显示
2. 列表中姓名栏内容可见
3.",,3,功能测试,系统测试阶段,,,
/财务管理/财务流水(#205),验证一级科目下拉框内容可自由选择,"1.管理员账号登录woniuboss
2.左侧导航栏点击【财务管理】进入该模块
3.点击：解密；
4.输入正确的二级密码
5.点击：财务流水
6.点击：新增流水","1. 点击一级科目下拉框
2. 随机选择一项内容",1. 一级科目下拉框内容可自由选择,,3,功能测试,系统测试阶段,,,
/财务管理/财务流水(#205),验证二级科目下拉框内容可自由选择,"1.管理员账号登录woniuboss
2.左侧导航栏点击【财务管理】进入该模块
3.点击：解密；
4.输入正确的二级密码
5.点击：财务流水
6.点击：新增流水","1. 点击二级科目下拉框
2. 随机选择一项内容",1. 二级科目下拉框内容可自由选择,,3,功能测试,系统测试阶段,,,
/财务管理/财务流水(#205),验证一级科目和二级科目之间具有关联关系,"1.管理员账号登录woniuboss
2.左侧导航栏点击【财务管理】进入该模块
3.点击：解密；
4.输入正确的二级密码
5.点击：财务流水
6.点击：新增流水","1. 点击一级科目逐一进行选择
2. 查看二级科目下拉框内内容是否随一级目录有相应变化",1. 二级科目随一级科目变化，两者之间具有关联关系,,3,功能测试,系统测试阶段,,,
/财务管理/财务流水(#205),验证流水账类型下拉框可选择进行改变,"1.管理员账号登录woniuboss
2.左侧导航栏点击【财务管理】进入该模块
3.点击：解密；
4.输入正确的二级密码
5.点击：财务流水
6.点击：新增流水","1. 点击“类型”下拉框，
2. 类型选择为：公账",1. 流水账类型下拉框可选择进行改变,,3,功能测试,系统测试阶段,,,
/财务管理/财务流水(#205),验证结算方式可更改,"1.管理员账号登录woniuboss
2.左侧导航栏点击【财务管理】进入该模块
3.点击：解密；
4.输入正确的二级密码
5.点击：财务流水
6.点击：新增流水","1. 点击：类型选择为“私账”
2.结算方式更改为：微信",1. 流水账类型为私账时，结算方式可以进行修改,,3,功能测试,系统测试阶段,,,
/财务管理/财务流水(#205),验证结算方式与类型之间具有关联关系,"1.管理员账号登录woniuboss
2.左侧导航栏点击【财务管理】进入该模块
3.点击：解密；
4.输入正确的二级密码
5.点击：财务流水
6.点击：新增流水","1. 点击切换类型为公账和私账
2. 查看结算方式下拉框内容是否随之发生变化",1. 结算方式与类型之间具有关联关系,,3,功能测试,系统测试阶段,,,
/财务管理/财务流水(#205),验证交易时间可以重新选择日期进行修改,"1.管理员账号登录woniuboss
2.左侧导航栏点击【财务管理】进入该模块
3.点击：解密；
4.输入正确的二级密码
5.点击：财务流水
6.点击：新增流水","1. 点击：交易时间
2. 选择日期为2019-12-10
3.其他栏输入合法格式
4.点击：保存",1. 交易时间可以进行修改,,3,功能测试,系统测试阶段,,,
/财务管理/财务流水(#205),验证交易时间栏可以通过键盘输入,"1.管理员账号登录woniuboss
2.左侧导航栏点击【财务管理】进入该模块
3.点击：解密；
4.输入正确的二级密码
5.点击：财务流水
6.点击：新增流水","1. 点击：交易时间
2. 键盘输入日期为2019-12-10",1. 交易时间栏可以通过键盘输入,,3,功能测试,系统测试阶段,,,
/财务管理/财务流水(#205),验证交易时间栏不可以键盘输入不合法格式的时间,"1.管理员账号登录woniuboss
2.左侧导航栏点击【财务管理】进入该模块
3.点击：解密；
4.输入正确的二级密码
5.点击：财务流水
6.点击：新增流水","1. 点击：交易时间
2. 键盘输入日期为2019-12-35",1.交易时间栏不可以键盘输入不合法格式的时间,,3,功能测试,系统测试阶段,,,
/财务管理/财务流水(#205),验证负责人下拉框可选择,"1.管理员账号登录woniuboss
2.左侧导航栏点击【财务管理】进入该模块
3.点击：解密；
4.输入正确的二级密码
5.点击：财务流水
6.点击：新增流水",1. 随机点击选择负责人,1. 负责人下拉框可选择,,3,功能测试,系统测试阶段,,,
/财务管理/财务流水(#205),验证负责人栏与交易账号栏具有关联关系,"1.管理员账号登录woniuboss
2.左侧导航栏点击【财务管理】进入该模块
3.点击：解密；
4.输入正确的二级密码
5.点击：财务流水
6.点击：新增流水","1. 点击负责人依次选择下拉框中内容
2.查看交易账号是否随之发生变化",1. 负责人栏与交易账号栏具有关联关系,,3,功能测试,系统测试阶段,,,
/财务管理/财务流水(#205),验证收支类型下拉框可选择,"1.管理员账号登录woniuboss
2.左侧导航栏点击【财务管理】进入该模块
3.点击：解密；
4.输入正确的二级密码
5.点击：财务流水
6.点击：新增流水","1. 点击收支类型下拉框
2. 选择支出选项",1. 收支类型下拉框可选择,,3,功能测试,系统测试阶段,,,
/财务管理/财务流水(#205),验证金额栏输入合法的整数,"1.管理员账号登录woniuboss
2.左侧导航栏点击【财务管理】进入该模块
3.点击：解密；
4.输入正确的二级密码
5.点击：财务流水
6.点击：新增流水","1. 金额：10000
2.其他栏输入合法格式数据
3.点击：保存","新增流水成功
",,3,功能测试,系统测试阶段,,,
/财务管理/财务流水(#205),验证金额栏输入合法的小数,"1.管理员账号登录woniuboss
2.左侧导航栏点击【财务管理】进入该模块
3.点击：解密；
4.输入正确的二级密码
5.点击：财务流水
6.点击：新增流水","1. 金额：1000.01
2.其他栏输入合法格式数据
3.点击：保存","新增流水成功
",,3,功能测试,系统测试阶段,,,
